speed_mph,miles_per_minute,seconds_per_mile,seconds_saved_per_mile
60,1.0,60.0,0.0
61,1.0166666666666666,59.01639344262295,0.9836065573770512
62,1.0333333333333334,58.064516129032256,1.9354838709677438
63,1.05,57.142857142857146,2.857142857142854
64,1.0666666666666667,56.25,3.75
65,1.0833333333333333,55.38461538461539,4.615384615384613
66,1.1,54.54545454545455,5.454545454545453
67,1.1166666666666667,53.73134328358209,6.268656716417908
68,1.1333333333333333,52.94117647058823,7.058823529411768
69,1.15,52.17391304347826,7.826086956521742
70,1.1666666666666667,51.42857142857143,8.57142857142857
71,1.1833333333333333,50.70422535211268,9.29577464788732
72,1.2,50.0,10.0
73,1.2166666666666666,49.31506849315068,10.684931506849317
74,1.2333333333333334,48.648648648648646,11.351351351351354
75,1.25,48.0,12.0
76,1.2666666666666666,47.36842105263158,12.631578947368418
77,1.2833333333333334,46.753246753246756,13.246753246753244
78,1.3,46.15384615384615,13.846153846153847
79,1.3166666666666667,45.56962025316456,14.430379746835442
80,1.3333333333333333,45.0,15.0
81,1.35,44.44444444444444,15.555555555555557
82,1.3666666666666667,43.90243902439025,16.097560975609753
83,1.3833333333333333,43.373493975903614,16.626506024096386
84,1.4,42.857142857142854,17.142857142857146
85,1.4166666666666667,42.35294117647059,17.647058823529413
86,1.4333333333333333,41.86046511627907,18.139534883720927
87,1.45,41.37931034482759,18.620689655172413
88,1.4666666666666666,40.90909090909091,19.090909090909093
89,1.4833333333333334,40.449438202247194,19.550561797752806
90,1.5,40.0,20.0
91,1.5166666666666666,39.56043956043956,20.439560439560438
92,1.5333333333333334,39.130434782608695,20.869565217391305
93,1.55,38.70967741935484,21.29032258064516
94,1.5666666666666667,38.297872340425535,21.702127659574465
95,1.5833333333333333,37.89473684210526,22.10526315789474
96,1.6,37.5,22.5
97,1.6166666666666667,37.11340206185567,22.886597938144327
98,1.6333333333333333,36.734693877551024,23.265306122448976
99,1.65,36.36363636363637,23.636363636363633
100,1.6666666666666667,36.0,24.0
101,1.6833333333333333,35.64356435643565,24.356435643564353
102,1.7,35.294117647058826,24.705882352941174
103,1.7166666666666666,34.95145631067961,25.04854368932039
104,1.7333333333333334,34.61538461538461,25.384615384615387
105,1.75,34.285714285714285,25.714285714285715
106,1.7666666666666666,33.9622641509434,26.037735849056602
107,1.7833333333333334,33.64485981308411,26.35514018691589
108,1.8,33.333333333333336,26.666666666666664
109,1.8166666666666667,33.027522935779814,26.972477064220186
110,1.8333333333333333,32.72727272727273,27.272727272727273
111,1.85,32.432432432432435,27.567567567567565
112,1.8666666666666667,32.142857142857146,27.857142857142854
113,1.8833333333333333,31.858407079646017,28.141592920353983
114,1.9,31.57894736842105,28.42105263157895
115,1.9166666666666667,31.304347826086957,28.695652173913043
116,1.9333333333333333,31.03448275862069,28.96551724137931
117,1.95,30.76923076923077,29.23076923076923
118,1.9666666666666666,30.508474576271187,29.491525423728813
119,1.9833333333333334,30.252100840336134,29.747899159663866
120,2.0,30.0,30.0
