speed_km_per_h,km_per_minute,seconds_per_km,seconds_saved_per_km
60,1.0,60.0,0.0
65,1.0833333333333333,55.38461538461539,4.615384615384613
70,1.1666666666666667,51.42857142857143,8.57142857142857
75,1.25,48.0,12.0
80,1.3333333333333333,45.0,15.0
85,1.4166666666666667,42.35294117647059,17.647058823529413
90,1.5,40.0,20.0
95,1.5833333333333333,37.89473684210526,22.10526315789474
100,1.6666666666666667,36.0,24.0
105,1.75,34.285714285714285,25.714285714285715
110,1.8333333333333333,32.72727272727273,27.272727272727273
115,1.9166666666666667,31.304347826086957,28.695652173913043
120,2.0,30.0,30.0
125,2.0833333333333335,28.8,31.2
130,2.1666666666666665,27.692307692307693,32.30769230769231
135,2.25,26.666666666666668,33.33333333333333
140,2.3333333333333335,25.714285714285715,34.285714285714285
145,2.4166666666666665,24.82758620689655,35.172413793103445
150,2.5,24.0,36.0
155,2.5833333333333335,23.225806451612904,36.774193548387096
160,2.6666666666666665,22.5,37.5
165,2.75,21.818181818181817,38.18181818181819
170,2.8333333333333335,21.176470588235293,38.82352941176471
175,2.9166666666666665,20.571428571428573,39.42857142857143
180,3.0,20.0,40.0
185,3.0833333333333335,19.45945945945946,40.54054054054054
190,3.1666666666666665,18.94736842105263,41.05263157894737
195,3.25,18.46153846153846,41.53846153846154
200,3.3333333333333335,18.0,42.0
